Circle Number,R,G,B,X,Y,Z,L,a*,b*,H,S,V,Delta E,Grayscale,Column Index,Experiment
2,90.34781535423352,104.99530980004937,54.30140705998519,0.09974429012020683,0.12562503770932718,0.05425863290239056,42.09651181461484,-14.574687816994835,26.56835913618234,77.33639785548377,48.28206406229429,41.17463129413701,19.7476275423163,94.82756926684769,1,1
3,80.87756109602567,102.90940508516415,60.372253764502595,0.09049438528355365,0.117564402511672,0.06118303024249506,40.82637281448345,-16.628032274461635,21.372119820669866,91.0766141668311,41.33456148683333,40.35662944516241,22.85286963535205,91.46456072574672,2,1
4,58.24709948160948,100.60627005677611,69.01505801036781,0.07449071034822993,0.1056745063467671,0.07278729440902831,38.84218277173437,-22.416246360861898,13.38555935341078,135.2523645518278,42.103907193121934,39.453439237951414,28.531899242821677,84.33365517156257,3,1
5,51.03999012589484,103.5544310046902,76.70278943470748,0.07601317781178532,0.11047042528546719,0.0869658850707554,39.659589355076804,-24.491622334600144,9.833785337962098,149.32084837545128,50.71192064820179,40.60958078615302,29.90197007693136,84.78642204393977,4,1
7,78.97870682939497,100.06154245650481,56.28278369254739,0.08506388535108843,0.11075664003464628,0.05466628615692273,39.7076168613498,-16.467303180092845,22.265716709937465,88.89460947138653,43.75183281127948,39.239820571178356,20.08532671341855,88.75909823422488,1,2
8,66.91119189820826,97.96546351596987,59.52999220981563,0.0747608964767264,0.10240066678186194,0.05791872231624692,38.26988701426213,-19.69106576527896,18.35172116922068,108.47751917035434,39.23369514797291,38.41782882979211,23.4202865313504,84.29190145416776,2,2
9,45.469228771747595,96.72137107244872,73.63074526097118,0.06575009605167385,0.09555484032038793,0.07910128755707165,37.032514525744745,-23.335511265980628,7.983164055685965,152.96820217660053,52.98947040598808,37.92994944017597,28.81680346685358,78.76010225915347,3,2
10,23.638535445338874,94.64684497533108,75.61126980005193,0.0571898033251758,0.08826479840380694,0.08167721408345427,35.648038657599585,-26.692753047556806,4.699924510061482,163.91548090531097,75.024486604387,37.11640979424748,31.386295794926454,71.24294100233705,4,2
12,78.50802271044186,97.23722537645025,50.26610713404098,0.08061751181396194,0.10467040598692043,0.0464279159788146,38.66792947141849,-15.952664830224395,24.383073614755556,83.92432205171328,48.30569574621485,38.132245245666766,18.29075879511768,86.27463549740803,1,3
13,64.54060725746729,93.88595408541102,54.27647494445816,0.06814413739635944,0.09362040612168841,0.04971459229455378,36.67220459627777,-19.320919780941054,19.330845259840935,104.45200613244589,42.188929671970804,36.8180212099651,22.3197002776219,80.58976070106146,2,3
14,46.610750454427425,93.05972474681901,61.90444040508959,0.05940495796020645,0.08780630447393158,0.05924555774289601,35.55845430815472,-23.808936275069247,13.10679640328214,139.7554716981132,49.91307938935132,36.494009704634905,26.53718796757482,75.61511794339133,3,3
15,22.014022331861852,98.14983121267203,76.86600882887562,0.060470189020112156,0.09467382717102246,0.08503656147361427,36.869024898644696,-28.278930589747425,5.6641704400062665,163.22695507147026,77.57100337323897,38.49012988732236,29.971728784006977,72.9566672033238,4,3
17,75.2216736608245,95.51567514194026,49.15625771414466,0.07615448993053074,0.10005401765844721,0.04452469302739315,37.852123531526345,-16.56741174604609,23.944618944506846,86.26521549291273,48.53592602355957,37.45712750664324,19.477759145754547,84.15527294495186,1,4
18,59.09971435990652,92.25006491820307,53.61256816411322,0.06314946658878055,0.08892977987111658,0.048255886913367185,35.77741864960014,-20.66823879788582,18.49420722964794,111.47903463200552,41.88343584186007,36.176496046354146,23.913893952823006,77.92752549987016,2,4
19,45.84471565827058,96.77148792521423,64.50584263827577,0.06312761062609652,0.09459910622899464,0.06418578893262387,36.855112348563225,-25.336835819476544,13.29187523263311,141.98583513071145,52.62580266028385,37.949603107927146,26.983954691305915,77.86151498312125,3,4
20,12.008511887290872,88.84032873495744,68.05077781039037,0.047552032821050756,0.07613816100935492,0.06694841234450698,33.165310191974676,-27.681008423263293,5.829059154431859,163.76488925223293,86.48303978802626,34.83934460194409,31.3517480993081,63.49640584091575,4,4
