Feature,R²,RMSE,MAE,AIC,BIC
Delta E,0.9639126233873949,0.8295870145952833,0.6830804325318409,-1.9784727935575308,-0.4332953490779685
H,0.9364495759071026,7.761190375628755,5.402834050851508,69.57234308326231,71.11752052774187
b*,0.9294698839638963,1.872419676053304,1.401028680958428,24.071409243372834,25.616586687852397
a*,0.9142798510291218,1.2780900481749773,0.9782752299338088,11.851738038526378,13.39691548300594
B,0.8348619111318988,3.765863692375172,3.269307314899356,46.43127152988377,47.976448974363336
R,0.8192288989949281,9.431407504331933,7.17440030760166,75.80945099696268,77.35462844144224
Z,0.7421186308527172,0.006928410980186027,0.006025293074111943,-155.10799321155443,-153.56281576707488
Grayscale,0.5359220601860408,5.261964891520986,4.006151754192981,57.136144336543126,58.68132178102269
X,0.5157395010127831,0.00906895475866507,0.007247346573487409,-146.4927444191502,-144.94756697467065
S,0.46101940152769394,10.146597940468999,9.079177173819454,78.14843107277073,79.6936085172503
L,0.29482061460613307,1.8244095554191886,1.464031803406432,23.240204909112425,24.785382353591988
Y,0.29065356717684654,0.010198342161365415,0.008245448980077803,-142.73696336324264,-141.1917859187631
V,0.061912919391966637,1.6088204254647285,1.2994428384802048,19.216040175446004,20.761217619925564
G,0.0619129193919663,4.102492084935059,3.3135792381245235,49.17102766889672,50.71620511337628
