Experiment,Feature,LOD (g/dL)
1,B,8.083605558567776
2,B,8.083605558567776
3,B,8.083605558567776
4,B,8.083605558567776
1,Delta E,0.0
2,Delta E,0.0
3,Delta E,0.0
4,Delta E,0.0
1,G,53.26124360608768
2,G,53.26124360608768
3,G,53.26124360608768
4,G,53.26124360608768
1,Grayscale,10.538866519217342
2,Grayscale,10.538866519217342
3,Grayscale,10.538866519217342
4,Grayscale,10.538866519217342
1,H,0.1694014559843363
2,H,0.1694014559843363
3,H,0.1694014559843363
4,H,0.1694014559843363
1,L,19.096551252894564
2,L,19.096551252894564
3,L,19.096551252894564
4,L,19.096551252894564
1,R,3.165054685811324
2,R,3.165054685811324
3,R,3.165054685811324
4,R,3.165054685811324
1,S,3.812189279992523
2,S,3.812189279992523
3,S,3.812189279992523
4,S,3.812189279992523
1,V,60.294686673556875
2,V,60.294686673556875
3,V,60.294686673556875
4,V,60.294686673556875
1,X,20.644471693669626
2,X,20.644471693669626
3,X,20.644471693669626
4,X,20.644471693669626
1,Y,30.63292080283809
2,Y,30.63292080283809
3,Y,30.63292080283809
4,Y,30.63292080283809
1,Z,7.428886983232573
2,Z,7.428886983232573
3,Z,7.428886983232573
4,Z,7.428886983232573
1,a*,0.6991850311237994
2,a*,0.6991850311237994
3,a*,0.6991850311237994
4,a*,0.6991850311237994
1,b*,0.8645918083294606
2,b*,0.8645918083294606
3,b*,0.8645918083294606
4,b*,0.8645918083294606
