Feature,R²,RMSE,MAE,AIC,BIC
Delta E,0.9607999763213733,0.8643899119708647,0.7109831274544127,-0.6634023991718259,0.8817750453077364
H,0.935900834938934,7.79014605892556,5.412657880172477,69.69150749593717,71.23668494041674
b*,0.9239161087659811,1.9570705216542257,1.417067862984732,25.48635914742468,27.031536591904242
a*,0.923668267407816,1.1981624632412589,0.9306752717215625,9.785251281703916,11.330428726183477
B,0.8322061812143831,3.8377937745909585,3.2913518843639524,47.03672523592233,48.581902680401896
R,0.8217609121259484,9.334472084481655,7.112360588953021,75.47885513971843,77.024032584198
Z,0.743465055741156,0.006948244342889102,0.0060206582228894915,-155.01652044324157,-153.47134299876203
Grayscale,0.5378335176125884,5.205880180076114,3.964291082660136,56.79324129827429,58.33841874275385
X,0.5210687417445659,0.00890778676627659,0.007068925139264984,-147.06654295046866,-145.5213655059891
S,0.4518244446162305,10.196508528412814,9.106387297066531,78.30545153778625,79.85062898226582
L,0.2931449554580622,1.808630288385865,1.4456015781932252,22.962233985671574,24.507411430151137
Y,0.2894920007628816,0.010105890559663117,0.00814814980680564,-143.02837764527237,-141.48320020079282
G,0.05868718339439083,4.089618558246647,3.288055679103425,49.07045451722083,50.615631961700394
V,0.05868718339439016,1.6037719836261362,1.2894335996484014,19.115467023770123,20.660644468249686
