Feature,R²,RMSE,MAE,AIC,BIC
Delta E,0.9624417130538235,0.8444787670487007,0.6957574001435689,-1.4091419417816473,0.13603550269791498
H,0.9360141714678152,7.771503384126413,5.384174790762973,69.61483620461317,71.16001364909273
b*,0.9259216717297991,1.929058456059047,1.4010794486124878,25.025025192940642,26.570202637420206
a*,0.9213276092151306,1.2076840948245693,0.9355876029426922,10.038545740987841,11.583723185467402
B,0.8394010270458547,3.7534569126241317,3.222420298030212,46.32567227878733,47.87084972326689
R,0.823669511183424,9.148028311730256,7.0693672619855885,74.83322787233237,76.37840531681194
Z,0.7543736213290979,0.0068764243963211945,0.00596463854828704,-155.34900710303637,-153.80382965855682
Grayscale,0.5376725081671112,5.11382789577857,3.9097392699399913,56.22234312829463,57.767520572774195
X,0.5185035285311363,0.00896708325237804,0.007137967817775395,-146.8542343279565,-145.30905688347696
S,0.45227444148995044,9.851051255041106,8.83496047284065,77.20250162845609,78.74767907293565
L,0.2916919479755923,1.7922627261208237,1.4380276533467908,22.671325259678607,24.21650270415817
Y,0.2880088870328973,0.01011950512006689,0.008184691656788243,-142.98529655992576,-141.4401191154462
V,0.05687767196352467,1.5869368359140186,1.2808494158343673,18.77778047410712,20.322957918586685
G,0.056877671963524334,4.046688931580749,3.2661660103776393,48.73276796755785,50.27794541203741
