Circle Number,R,G,B,X,Y,Z,L,a*,b*,H,S,V,Delta E,Grayscale,Column Index,Experiment
2,126.22793756748797,130.39069402179248,142.39138117208208,0.2158341280692876,0.22486915374199418,0.2894355034880412,54.53986395278031,0.9938585225969798,-6.975478912190125,224.5475139228821,11.351419918499385,55.83975732238513,7.350823981552468,130.5014853833317,2,1
3,123.08752634955549,120.62588213729263,137.8841536064522,0.19551039540539622,0.19632927163714273,0.2675540896252995,51.4196263129254,4.551127983986214,-9.029290948307867,248.55813706486816,12.516501003021691,54.07221710056949,12.747527491327496,123.31704795160846,4,1
4,117.03341902313625,111.78455925035243,129.37067750228044,0.17097413293151725,0.16919905932587836,0.23259146000465866,48.158958291279575,5.702800113320139,-8.937982221130248,257.9079647853785,13.593589050824917,50.733599020502126,15.846362266978963,115.34708246123226,6,1
5,101.15873171689408,93.32099734956317,112.91989790909983,0.1230277603082458,0.11851509901406478,0.17235386770087296,40.97913917974887,7.325153682341518,-9.949239598320158,263.9944103298707,17.356463229637097,44.282312905529345,22.825321860475412,97.8886387160106,8,1
7,127.18455708195168,132.77773567029843,144.82529606821413,0.22233287932327508,0.23279146238396298,0.30033987433493214,55.35871246546847,0.4957427090653277,-7.1587386202988545,220.97637998259918,12.180702864196792,56.79423375224083,5.92373760278326,132.46607870203695,2,2
8,120.41893501970489,118.85720832187701,134.93758592246357,0.1875170200779833,0.1893018523147774,0.2555993333868348,50.60542601070567,3.9821044703508557,-8.538828325757608,245.82720158674974,11.916900314065579,52.91670036175042,12.193603513348807,121.14528575749243,4,2
9,111.76486223088509,106.25011074687694,125.53353415433685,0.15567183403757065,0.1528334408430993,0.21707063707901042,46.01986065760427,6.238023430635231,-9.905290906396957,257.15904287578337,15.361173042218315,49.228836923269355,17.27523031451969,110.08615522282273,6,2
10,93.91693931398417,86.85076517150395,109.54026385224275,0.10792640369312738,0.10283317091483517,0.16034249481538124,38.34618528703543,7.8705596983717765,-11.914821202147097,258.6857565481922,20.713386916197614,42.95696621656578,24.130659617573112,91.54076239577836,8,2
12,128.5236085206636,134.05673898105428,144.54667713752823,0.2258883833849197,0.2372590817733149,0.2998918573653569,55.81231672532675,0.17410737629430795,-6.311894792335915,219.28063371868632,11.085048051031677,56.68497142648165,5.376561970290946,133.58533356238343,2,3
13,117.78351492183799,114.83969682614874,131.99981051634296,0.17718326361595094,0.1772720958585807,0.24313490368742097,49.16355696569484,4.748836598542027,-8.985803068743504,250.29300207039338,13.000104790354698,51.76463157503646,13.854167251447578,117.66437304594977,4,3
14,112.35001374759418,105.08340207130419,124.70094400146641,0.154686892172169,0.15060938427869713,0.2139019137477989,45.71754848675652,6.9629198184109615,-9.85521867701895,262.2248384700556,15.731670748163317,48.90233098096722,17.99824046011398,109.48128374117863,6,3
15,91.61371636198479,80.29351652094924,106.23628931531736,0.0987866593315363,0.09081422437711312,0.14929838581085556,36.14059089370583,10.340197039423959,-13.2348016210311,266.1811640508058,24.419878519446403,41.66128992757543,26.9694988778546,86.62657100034063,8,3
