Feature,R²,RMSE,MAE,AIC,BIC
Delta E,0.961714250828611,1.3246748454011923,1.0075545771926093,10.748008711012947,11.717822010588947
Z,0.9578973254616794,0.010358289762362369,0.007905904444232864,-105.67923527914874,-104.70942197957274
Y,0.9575638762571279,0.009716845379373043,0.007560332313905227,-107.21346230322985,-106.24364900365384
X,0.9495476359105623,0.009293338393960576,0.007358373245675908,-108.28297849314202,-107.31316519356602
G,0.9424047702728672,4.067463064751855,3.085062689427604,37.672467507820784,38.64228080739679
B,0.9414104863114398,3.1091570851691817,2.5330018560939656,31.22443973793306,32.194253037509064
V,0.9414104863114398,1.2192772883016396,0.9933340612133215,8.758199117845018,9.72801241742102
L,0.9331062056080444,1.6167727806407346,1.2656589779101328,15.530369239287229,16.50018253886323
Grayscale,0.9330713471446348,3.8797185108537824,3.061108829984967,36.53830245410486,37.50811575368086
a*,0.9126986343859713,0.8902524194297128,0.7593140491353271,1.209994260856253,2.1798075604322538
R,0.8870772806406999,4.067217199483309,3.4456215113350184,37.67101673993435,38.640830039510355
H,0.8532949351369326,6.255038232960475,5.692027358349371,48.001294150815106,48.97110745039111
b*,0.8207327090834935,0.802991405836234,0.5851822496808298,-1.2658704239052323,-0.2960571243292316
S,0.7407763294107168,2.0033227740445922,1.6026861546004108,20.67537253613226,21.64518583570826
